                      testname                        method          bytes                  id                time      papi_evt1_type       papi_evt1_val      papi_evt2_type       papi_evt2_val
                     WRF_y_vec                        custom          90804       communication              58.889                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              58.650                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              59.843                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              58.889                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              61.035                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              63.180                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              63.419                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804   ddt_free_overhead               0.000                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804 ddt_create_overhead               0.238                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              64.134                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              63.419                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              61.511                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              58.174                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              59.843                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              58.650                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              58.412                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              59.127                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              59.127                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              58.174                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              59.366                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              59.127                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              57.935                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              59.127                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              63.896                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              62.227                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              62.227                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              59.366                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              61.988                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              58.889                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804   ddt_free_overhead               0.238                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804 ddt_create_overhead               0.000                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              59.366                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              57.697                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              58.889                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              58.889                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              58.650                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              58.889                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              58.650                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              58.412                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              60.081                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              57.935                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              57.220                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              58.174                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              60.796                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              62.465                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              66.041                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              60.796                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              58.412                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              58.650                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              58.412                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              58.174                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804   ddt_free_overhead               0.000                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804 ddt_create_overhead               0.238                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              59.127                  NA                  NA                  NA                  NA
                     WRF_y_vec                        custom          90804       communication              59.843                  NA                  NA                  NA                  NA
